UnitID,Date,Created,Last Saved,Zone,Easting,Northing,Altitude,GPStime,Latitude,Longitude,SnowDepth,Notes,TreeCanopyType,Picture,MeasurementID
Local,3/25/19,12:16,14:37,12S,742367,4324171,3052.2,203655,39.033005,-108.199966 ,225 ,A04 Tate Carl ,,,112 
Local,3/25/19,14:37,14:39,12S,742375,4324160,3051.9,203934,39.032909,-108.199883 ,225 ,,,,113 
Local,3/25/19,14:39,14:41,12S,742373,4324155,3051.8,204042,39.03286,-108.199905 ,224 ,,,,114 
Local,3/25/19,14:41,14:41,12S,742373,4324151,3051.3,204156,39.032822,-108.199905 ,241 ,,,,115 
Local,3/25/19,14:41,14:42,12S,742372,4324146,3052.4,204243,39.03278,-108.199921 ,247 ,,,,116 
Local,3/25/19,14:42,14:44,12S,742371,4324141,3053,204438,39.032738,-108.199936 ,249 ,,,,117 
Local,3/25/19,14:44,14:45,12S,742370,4324138,3052.6,204522,39.032707,-108.199951 ,259 ,,,,118 
Local,3/25/19,14:45,14:46,12S,742370,4324134,3049.6,204622,39.032669,-108.199951 ,268 ,,,,119 
Local,3/25/19,14:46,14:46,12S,742369,4324128,3050.8,204654,39.032619,-108.199966 ,258 ,,,,120 
Local,3/25/19,14:46,14:47,12S,742367,4324124,3051.1,204728,39.032581,-108.199982 ,242 ,,,,121 
Local,3/25/19,14:47,14:47,12S,742366,4324119,3051.8,204800,39.032543,-108.199997 ,240 ,,,,122 
Local,3/25/19,14:47,14:48,12S,742366,4324116,3051.9,204842,39.032513,-108.199997 ,233 ,,,,123 
Local,3/25/19,14:48,14:49,12S,742364,4324112,3052.2,204913,39.032478,-108.200020 ,241 ,,,,124 
Local,3/25/19,14:49,14:49,12S,742363,4324109,3051.3,204956,39.032448,-108.200035 ,250 ,,,,125 
Local,3/25/19,14:49,14:50,12S,742362,4324105,3051.5,205043,39.032413,-108.200050 ,251 ,,,,126 
Local,3/25/19,14:50,14:51,12S,742361,4324102,3053.3,205117,39.032383,-108.200066 ,250 ,,,,127 
Local,3/25/19,14:51,14:52,12S,742361,4324099,3053.3,205209,39.032356,-108.200066 ,261 ,,,,128 
Local,3/25/19,14:52,14:52,12S,742360,4324095,3054.7,205244,39.032326,-108.200081 ,254 ,,,,129 
Local,3/25/19,14:52,14:53,12S,742359,4324090,3054,205319,39.032284,-108.200096 ,257 ,,,,130 
Local,3/25/19,14:53,14:54,12S,742357,4324086,3052.7,205408,39.032242,-108.200111 ,258 ,,,,131 
Local,3/25/19,14:54,14:54,12S,742356,4324081,3052.3,205450,39.032204,-108.200127 ,258 ,,,,132 
Local,3/25/19,14:54,14:56,12S,742356,4324077,3052.8,205656,39.032166,-108.200127 ,264 ,,,,133 
Local,3/25/19,14:56,14:57,12S,742359,4324075,3051.8,205738,39.032146,-108.200096 ,267 ,,,,134 
Local,3/25/19,14:57,14:58,12S,742362,4324074,3051.9,205805,39.032131,-108.200066 ,283 ,,,,135 
Local,3/25/19,14:58,14:58,12S,742364,4324074,3052.7,205834,39.032131,-108.200035 ,287 ,,,,136 
