UnitID,Date,Created,Last Saved,Zone,Easting,Northing,Altitude,GPStime,Latitude,Longitude,SnowDepth,Notes,TreeCanopyType,Picture,MeasurementID
Local,3/28/19,12:16,14:21,12S,749115,4322483,3151.6,202201,39.015915,-108.122719 ,225 ,Mega trench next to D09 Carl and Nancy ,,,1291 
Local,3/28/19,14:22,14:23,12S,749115,4322487,3152,202340,39.015957,-108.122719 ,232 ,,,,1292 
Local,3/28/19,14:23,14:23,12S,749116,4322490,3151.8,202359,39.01598,-108.122704 ,234 ,,,,1293 
Local,3/28/19,14:23,14:24,12S,749117,4322492,3151.5,202428,39.016003,-108.122688 ,239 ,,,,1294 
Local,3/28/19,14:24,14:24,12S,749119,4322496,3152.1,202451,39.016033,-108.122673 ,221 ,,,,1295 
Local,3/28/19,14:24,14:25,12S,749120,4322498,3151.8,202526,39.016056,-108.122658 ,222 ,,,,1296 
Local,3/28/19,14:25,14:26,12S,749121,4322501,3152.5,202615,39.016079,-108.122643 ,225 ,,,,1297 
Local,3/28/19,14:26,14:26,12S,749122,4322503,3152.6,202636,39.016098,-108.122627 ,213 ,,,,1298 
Local,3/28/19,14:26,14:27,12S,749124,4322507,3152.2,202706,39.016129,-108.122604 ,214 ,,,,1299 
Local,3/28/19,14:27,14:27,12S,749125,4322510,3152.2,202739,39.016155,-108.122589 ,229 ,,,,1300 
Local,3/28/19,14:27,14:28,12S,749127,4322512,3151.7,202802,39.016178,-108.122574 ,220 ,,,,1301 
Local,3/28/19,14:28,14:28,12S,749128,4322516,3152.4,202832,39.016209,-108.122559 ,225 ,,,,1302 
Local,3/28/19,14:28,14:28,12S,749129,4322519,3152.8,202901,39.016239,-108.122543 ,232 ,,,,1303 
Local,3/28/19,14:28,14:29,12S,749132,4322521,3151.7,202925,39.016258,-108.122513 ,232 ,,,,1304 
Local,3/28/19,14:29,14:29,12S,749133,4322524,3152.8,202952,39.016285,-108.122490 ,236 ,,,,1305 
Local,3/28/19,14:29,14:30,12S,749133,4322526,3152.3,203019,39.016304,-108.122490 ,241 ,,,,1306 
Local,3/28/19,14:30,14:30,12S,749135,4322528,3151.6,203049,39.016315,-108.122475 ,235 ,,,,1307 
Local,3/28/19,14:30,14:31,12S,749136,4322531,3150.6,203121,39.016342,-108.122459 ,236 ,,,,1308 
Local,3/28/19,14:31,14:31,12S,749137,4322536,3149.8,203154,39.016392,-108.122444 ,219 ,,,,1309 
Local,3/28/19,14:31,14:32,12S,749138,4322537,3151.8,203238,39.016399,-108.122429 ,130 ,In treewell ,,,1310 
Local,3/28/19,14:32,14:33,12S,749141,4322540,3151.8,203312,39.016422,-108.122398 ,145 ,Tree ,,,1311 
Local,3/28/19,14:33,14:33,12S,749144,4322542,3153.1,203354,39.016445,-108.122360 ,130 ,,,,1312 
Local,3/28/19,14:33,14:34,12S,749145,4322547,3155.9,203427,39.016483,-108.122345 ,121 ,,,,1313 
Local,3/28/19,14:34,14:34,12S,749142,4322547,3153.2,203458,39.016483,-108.122383 ,143 ,,,,1314 
Local,3/28/19,14:34,14:35,12S,749137,4322547,3155.1,203522,39.016487,-108.122444 ,95 ,,,,1315 
Local,3/28/19,14:35,14:35,12S,749135,4322547,3154.2,203549,39.016491,-108.122459 ,190 ,,,,1316 
Local,3/28/19,14:35,14:36,12S,749131,4322547,3153.6,203623,39.016487,-108.122513 ,202 ,,,,1317 
Local,3/28/19,14:36,14:36,12S,749127,4322544,3155.8,203649,39.016464,-108.122559 ,216 ,,,,1318 
Local,3/28/19,14:36,14:37,12S,749126,4322544,3153.4,203720,39.01646,-108.122574 ,220 ,,,,1319 
Local,3/28/19,14:37,14:37,12S,749124,4322540,3154.6,203752,39.01643,-108.122589 ,225 ,,,,1320 
Local,3/28/19,14:37,14:38,12S,749121,4322535,3155.2,203828,39.016384,-108.122627 ,235 ,,,,1321 
Local,3/28/19,14:38,14:39,12S,749119,4322534,3153.1,203907,39.016376,-108.122658 ,202 ,,,,1322 
Local,3/28/19,14:39,14:39,12S,749119,4322531,3152.1,203928,39.016354,-108.122658 ,180 ,,,,1323 
Local,3/28/19,14:39,14:39,12S,749118,4322528,3151.8,203950,39.016319,-108.122673 ,195 ,,,,1324 
Local,3/28/19,14:39,14:40,12S,749119,4322524,3151.9,204015,39.016289,-108.122658 ,205 ,,,,1325 
Local,3/28/19,14:40,14:40,12S,749118,4322521,3152.1,204039,39.016262,-108.122673 ,236 ,,,,1326 
Local,3/28/19,14:40,14:41,12S,749118,4322518,3153.3,204102,39.016232,-108.122673 ,225 ,,,,1327 
Local,3/28/19,14:41,14:41,12S,749118,4322515,3153.7,204126,39.016201,-108.122673 ,219 ,,,,1328 
Local,3/28/19,14:41,14:42,12S,749117,4322512,3152.6,204202,39.016178,-108.122688 ,235 ,,,,1329 
Local,3/28/19,14:42,14:42,12S,749115,4322509,3152.3,204232,39.016155,-108.122704 ,230 ,,,,1330 
Local,3/28/19,14:42,14:42,12S,749116,4322506,3152.3,204259,39.016125,-108.122704 ,225 ,,,,1331 
Local,3/28/19,14:42,14:43,12S,749114,4322503,3152.5,204327,39.016094,-108.122719 ,235 ,,,,1332 
Local,3/28/19,14:43,14:43,12S,749113,4322499,3153.2,204355,39.016064,-108.122734 ,234 ,,,,1333 
Local,3/28/19,14:43,14:44,12S,749113,4322496,3153,204428,39.016033,-108.122734 ,223 ,,,,1334 
Local,3/28/19,14:44,14:45,12S,749113,4322492,3152.5,204522,39.016003,-108.122734 ,225 ,,,,1335 
Local,3/28/19,14:45,14:45,12S,749111,4322489,3150.9,204553,39.015976,-108.122757 ,219 ,,,,1336 
Local,3/28/19,14:45,14:48,12S,749128,4322476,3152.3,204846,39.015854,-108.122574 ,219 ,,,,1337 
Local,3/28/19,14:48,14:49,12S,749129,4322474,3151.7,204930,39.015835,-108.122559 ,211 ,,,,1338 
Local,3/28/19,14:49,14:49,12S,749132,4322473,3151.6,204946,39.015823,-108.122528 ,225 ,,,,1339 
Local,3/28/19,14:49,14:50,12S,749135,4322471,3151.4,205004,39.015804,-108.122490 ,226 ,,,,1340 
Local,3/28/19,14:50,14:50,12S,749138,4322469,3151.5,205023,39.015785,-108.122459 ,240 ,,,,1341 
Local,3/28/19,14:50,14:51,12S,749139,4322466,3151.2,205103,39.015762,-108.122444 ,216 ,,,,1342 
Local,3/28/19,14:51,14:51,12S,749141,4322465,3151.1,205121,39.015751,-108.122429 ,210 ,,,,1343 
Local,3/28/19,14:51,14:51,12S,749143,4322463,3151.5,205201,39.015732,-108.122398 ,204 ,,,,1344 
Local,3/28/19,14:52,14:52,12S,749147,4322461,3151.6,205225,39.015709,-108.122360 ,219 ,,,,1345 
Local,3/28/19,14:52,14:53,12S,749148,4322459,3151.8,205309,39.01569,-108.122345 ,221 ,,,,1346 
Local,3/28/19,14:53,14:53,12S,749151,4322457,3151.9,205343,39.015675,-108.122314 ,219 ,,,,1347 
Local,3/28/19,14:53,14:54,12S,749152,4322455,3151.4,205417,39.015652,-108.122299 ,226 ,,,,1348 
Local,3/28/19,14:54,14:54,12S,749155,4322453,3151.4,205455,39.015633,-108.122269 ,226 ,,,,1349 
Local,3/28/19,14:54,14:55,12S,749157,4322450,3151.1,205520,39.015614,-108.122246 ,210 ,,,,1350 
Local,3/28/19,14:55,14:55,12S,749158,4322449,3150.9,205540,39.015598,-108.122231 ,225 ,,,,1351 
Local,3/28/19,14:55,14:56,12S,749162,4322445,3151.2,205636,39.015564,-108.122185 ,234 ,,,,1352 
Local,3/28/19,14:56,14:57,12S,749165,4322444,3151.2,205718,39.015549,-108.122154 ,226 ,,,,1353 
Local,3/28/19,14:57,14:59,12S,749167,4322441,3151,205923,39.015522,-108.122139 ,239 ,,,,1354 
Local,3/28/19,14:59,14:59,12S,749169,4322439,3151,205948,39.015507,-108.122116 ,243 ,,,,1355 
Local,3/28/19,14:59,15:00,12S,749171,4322437,3151,210025,39.015488,-108.122086 ,236 ,,,,1356 
Local,3/28/19,15:00,15:00,12S,749174,4322434,3150.9,210058,39.015465,-108.122055 ,223 ,,,,1357 
Local,3/28/19,15:00,15:01,12S,749177,4322432,3150.5,210126,39.015438,-108.122025 ,216 ,,,,1358 
Local,3/28/19,15:01,15:02,12S,749180,4322429,3150.2,210212,39.015415,-108.121986 ,218 ,,,,1359 
Local,3/28/19,15:02,15:02,12S,749182,4322426,3149.9,210237,39.015388,-108.121971 ,220 ,,,,1360 
Local,3/28/19,15:02,15:02,12S,749184,4322423,3149.5,210259,39.015358,-108.121941 ,211 ,,,,1361 
Local,3/28/19,15:02,15:03,12S,749187,4322420,3149.5,210338,39.015335,-108.121910 ,196 ,,,,1362 
Local,3/28/19,15:03,15:03,12S,749188,4322418,3149.5,210359,39.015312,-108.121895 ,202 ,,,,1363 
Local,3/28/19,15:03,15:04,12S,749192,4322417,3150.4,210433,39.015301,-108.121857 ,215 ,,,,1364 
Local,3/28/19,15:04,15:06,12S,749194,4322420,3149.3,210621,39.015327,-108.121826 ,179 ,,,,1365 
Local,3/28/19,15:06,15:08,12S,749194,4322423,3149.3,210857,39.015358,-108.121826 ,209 ,,,,1366 
Local,3/28/19,15:08,15:09,12S,749193,4322426,3148.1,210951,39.015381,-108.121841 ,235 ,,,,1367 
Local,3/28/19,15:09,15:10,12S,749193,4322430,3148.2,211023,39.015415,-108.121841 ,237 ,,,,1368 
Local,3/28/19,15:10,15:11,12S,749191,4322433,3149.2,211110,39.01545,-108.121857 ,233 ,,,,1369 
Local,3/28/19,15:11,15:11,12S,749190,4322437,3149.5,211134,39.01548,-108.121872 ,241 ,,,,1370 
Local,3/28/19,15:11,15:12,12S,749188,4322440,3150.5,211202,39.015511,-108.121895 ,243 ,,,,1371 
Local,3/28/19,15:12,15:12,12S,749186,4322445,3150.4,211236,39.015556,-108.121910 ,220 ,,,,1372 
Local,3/28/19,15:12,15:13,12S,749185,4322451,3150.8,211320,39.01561,-108.121925 ,214 ,,,,1373 
Local,3/28/19,15:13,15:14,12S,749183,4322454,3151.2,211400,39.01564,-108.121941 ,217 ,,,,1374 
Local,3/28/19,15:14,15:14,12S,749182,4322457,3151.2,211428,39.015667,-108.121956 ,217 ,,,,1375 
Local,3/28/19,15:14,15:15,12S,749180,4322461,3151.4,211508,39.015701,-108.121971 ,208 ,,,,1376 
Local,3/28/19,15:15,15:15,12S,749179,4322465,3151.6,211541,39.015736,-108.121986 ,212 ,,,,1377 
Local,3/28/19,15:15,15:16,12S,749178,4322469,3152.1,211611,39.01577,-108.122002 ,220 ,,,,1378 
Local,3/28/19,15:16,15:16,12S,749176,4322471,3151.7,211647,39.015793,-108.122025 ,218 ,,,,1379 
Local,3/28/19,15:16,15:20,12S,749173,4322474,3152.4,212036,39.01582,-108.122055 ,229 ,,,,1380 
Local,3/28/19,15:20,15:21,12S,749170,4322475,3151.8,212114,39.015831,-108.122086 ,225 ,,,,1381 
Local,3/28/19,15:21,15:21,12S,749165,4322475,3151.1,212141,39.015831,-108.122139 ,214 ,,,,1382 
Local,3/28/19,15:21,15:22,12S,749163,4322475,3151.6,212256,39.015835,-108.122169 ,221 ,,,,1383 
Local,3/28/19,15:22,15:23,12S,749159,4322476,3151.6,212333,39.015842,-108.122215 ,216 ,,,,1384 
Local,3/28/19,15:23,15:23,12S,749153,4322475,3150.9,212400,39.015831,-108.122284 ,215 ,,,,1385 
Local,3/28/19,15:23,15:24,12S,749148,4322474,3150.9,212430,39.015831,-108.122345 ,207 ,,,,1386 
Local,3/28/19,15:24,15:25,12S,749144,4322476,3150.8,212501,39.015842,-108.122383 ,197 ,,,,1387 
Local,3/28/19,15:25,15:25,12S,749140,4322475,3150.3,212538,39.015835,-108.122429 ,226 ,,,,1388 
Local,3/28/19,15:25,15:26,12S,749136,4322474,3150.3,212604,39.015835,-108.122475 ,216 ,,,,1389 
Local,3/28/19,15:26,15:26,12S,749132,4322474,3150.5,212648,39.015835,-108.122528 ,226 ,,,,1390 
Local,3/28/19,15:26,15:27,12S,749128,4322474,3150.4,212710,39.015831,-108.122574 ,230 ,,,,1391 
Local,3/28/19,15:36,15:37,12S,749106,4322461,3150.8,213738,39.015724,-108.122833 ,225 ,Tate's transect at large trench ,,,1393 
Local,3/28/19,15:37,15:38,12S,749108,4322461,3150.7,213821,39.01572,-108.122803 ,223 ,,,,1394 
Local,3/28/19,15:38,15:38,12S,749110,4322461,3150.9,213841,39.01572,-108.122787 ,227 ,,,,1395 
Local,3/28/19,15:38,15:39,12S,749111,4322461,3151.5,213904,39.015724,-108.122772 ,236 ,,,,1396 
Local,3/28/19,15:39,15:39,12S,749112,4322461,3152,213920,39.015724,-108.122757 ,228 ,,,,1397 
Local,3/28/19,15:39,15:39,12S,749114,4322461,3152.2,213935,39.015724,-108.122734 ,220 ,,,,1398 
Local,3/28/19,15:39,15:39,12S,749117,4322462,3152.2,213958,39.015728,-108.122704 ,233 ,,,,1399 
Local,3/28/19,15:39,15:40,12S,749118,4322462,3151.9,214014,39.015728,-108.122688 ,230 ,,,,1400 
Local,3/28/19,15:40,15:40,12S,749121,4322462,3151.6,214031,39.015732,-108.122658 ,225 ,,,,1401 
Local,3/28/19,15:40,15:40,12S,749122,4322463,3151.1,214046,39.015732,-108.122643 ,226 ,,,,1402 
Local,3/28/19,15:40,15:41,12S,749125,4322463,3150.6,214103,39.015739,-108.122604 ,219 ,,,,1403 
Local,3/28/19,15:41,15:41,12S,749128,4322465,3151.1,214120,39.015751,-108.122574 ,222 ,,,,1404 
Local,3/28/19,15:41,15:41,12S,749129,4322466,3151.5,214138,39.015759,-108.122559 ,222 ,,,,1405 
Local,3/28/19,15:41,15:41,12S,749131,4322466,3151.8,214152,39.015762,-108.122543 ,220 ,,,,1406 
Local,3/28/19,15:41,15:42,12S,749132,4322466,3151.4,214224,39.015762,-108.122528 ,228 ,,,,1407 
Local,3/28/19,15:42,15:42,12S,749133,4322466,3151.1,214251,39.015759,-108.122513 ,231 ,,,,1408 
