UnitID,Date,Created,Last Saved,Zone,Easting,Northing,Altitude,GPStime,Latitude,Longitude,SnowDepth,Notes,TreeCanopyType,Picture,MeasurementID
Local,3/25/19,10:59,11:00,12S,748923,4322515,3145.8,165953,39.016258,-108.124916 ,254 ,Carl D09 Grid ,,,44 
Local,3/25/19,11:00,11:02,12S,748920,4322520,3146.7,170159,39.016304,-108.124954 ,256 ,,,,45 
Local,3/25/19,11:02,11:03,12S,748919,4322520,3146.8,170258,39.016308,-108.124969 ,260 ,,,,46 
Local,3/25/19,11:03,11:04,12S,748916,4322523,3144.3,170413,39.016335,-108.125000 ,263 ,,,,47 
Local,3/25/19,11:04,11:06,12S,748916,4322523,3144.2,170613,39.016335,-108.125000 ,271 ,,,,48 
Local,3/25/19,11:06,11:07,12S,748913,4322528,3145.3,170711,39.016376,-108.125031 ,268 ,,,,49 
Local,3/25/19,11:07,11:08,12S,748912,4322530,3146.6,170819,39.016399,-108.125046 ,286 ,,,,50 
Local,3/25/19,11:08,11:09,12S,748910,4322533,3146,170925,39.016422,-108.125069 ,276 ,,,,51 
Local,3/25/19,11:09,11:10,12S,748908,4322536,3146.7,171032,39.016453,-108.125084 ,283 ,,,,52 
Local,3/25/19,11:10,11:11,12S,748905,4322540,3147.5,171131,39.016491,-108.125114 ,283 ,,,,53 
Local,3/25/19,11:11,11:13,12S,748904,4322543,3147.4,171255,39.016521,-108.125130 ,282 ,,,,54 
Local,3/25/19,11:13,11:14,12S,748901,4322547,3147.1,171407,39.016552,-108.125160 ,280 ,,,,55 
Local,3/25/19,11:14,11:15,12S,748897,4322545,3148.9,171501,39.016541,-108.125214 ,282 ,,,,56 
Local,3/25/19,11:15,11:16,12S,748894,4322541,3149.7,171615,39.016506,-108.125244 ,273 ,,,,57 
Local,3/25/19,11:16,11:18,12S,748896,4322539,3148,171759,39.016483,-108.125229 ,284 ,,,,58 
Local,3/25/19,11:18,11:19,12S,748897,4322536,3147.6,171847,39.016457,-108.125214 ,291 ,,,,59 
Local,3/25/19,11:19,11:20,12S,748900,4322533,3147.5,172020,39.01643,-108.125175 ,286 ,,,,60 
Local,3/25/19,11:20,11:21,12S,748902,4322530,3148.7,172135,39.016403,-108.125160 ,262 ,,,,61 
Local,3/25/19,11:21,11:23,12S,748905,4322528,3147.3,172228,39.016384,-108.125130 ,235 ,Near group of trees ,,,62 
Local,3/25/19,11:23,11:24,12S,748907,4322524,3149.7,172408,39.016342,-108.125099 ,239 ,,,,63 
Local,3/25/19,11:24,11:25,12S,748910,4322521,3150.5,172514,39.016315,-108.125069 ,237 ,,,,64 
Local,3/25/19,11:25,11:25,12S,748912,4322518,3150.1,172538,39.016289,-108.125046 ,240 ,,,,65 
Local,3/25/19,11:25,11:27,12S,748915,4322517,3149,172702,39.016277,-108.125015 ,257 ,,,,66 
Local,3/25/19,11:27,11:28,12S,748918,4322514,3145.3,172806,39.016251,-108.124985 ,258 ,,,,67 
Local,3/25/19,11:28,11:28,12S,748919,4322508,3146.5,172843,39.016201,-108.124969 ,268 ,,,,68 
Local,3/25/19,11:28,11:43,12S,748925,4322519,3146,174224,39.016296,-108.124901 ,252 ,,,,69 
Local,3/25/19,11:43,11:44,12S,748923,4322523,3147,174429,39.016335,-108.124916 ,260 ,Carl and Nancy D09 hourglass ,,,70 
Local,3/25/19,11:44,11:44,12S,748922,4322527,3147.3,174451,39.016369,-108.124931 ,266 ,,,,71 
Local,3/25/19,11:44,11:45,12S,748920,4322531,3147.3,174517,39.016403,-108.124954 ,273 ,,,,72 
Local,3/25/19,11:45,11:46,12S,748917,4322535,3147.7,174601,39.016441,-108.124985 ,274 ,,,,73 
Local,3/25/19,11:46,11:47,12S,748916,4322537,3147.8,174653,39.016457,-108.125000 ,288 ,,,,74 
Local,3/25/19,11:47,11:48,12S,748917,4322537,3146.8,174750,39.016464,-108.124985 ,281 ,,,,75 
Local,3/25/19,11:48,11:48,12S,748923,4322538,3147.5,174836,39.016464,-108.124916 ,273 ,,,,76 
Local,3/25/19,11:48,11:49,12S,748925,4322538,3146.7,174927,39.016468,-108.124886 ,278 ,,,,77 
Local,3/25/19,11:49,11:49,12S,748928,4322538,3146.6,174949,39.016468,-108.124855 ,272 ,,,,78 
Local,3/25/19,11:49,11:50,12S,748934,4322538,3147.4,175040,39.01646,-108.124786 ,272 ,,,,79 
Local,3/25/19,11:50,11:51,12S,748938,4322538,3148.1,175121,39.016464,-108.124741 ,260 ,,,,80 
Local,3/25/19,11:51,11:52,12S,748943,4322539,3147.9,175158,39.016468,-108.124687 ,273 ,,,,81 
