UnitID,Date,Created,Last Saved,Zone,Easting,Northing,Altitude,GPStime,Latitude,Longitude,SnowDepth,Notes,TreeCanopyType,Picture,MeasurementID
Local,3/26/19,17:05,17:06,12S,744455,4322711,3070.8,230544,39.019287,-108.176399 ,191 ,,,,520 
Local,3/26/19,17:06,17:06,12S,744453,4322714,3070.7,230617,39.01931,-108.176414 ,191 ,,,,521 
Local,3/26/19,17:06,17:06,12S,744453,4322717,3070.8,230635,39.019341,-108.176414 ,201 ,,,,522 
Local,3/26/19,17:06,17:06,12S,744453,4322720,3070.9,230649,39.019363,-108.176414 ,202 ,,,,523 
Local,3/26/19,17:06,17:07,12S,744453,4322723,3071,230706,39.01939,-108.176414 ,200 ,,,,524 
Local,3/26/19,17:07,17:07,12S,744453,4322726,3071,230729,39.019417,-108.176414 ,201 ,,,,525 
Local,3/26/19,17:07,17:08,12S,744454,4322729,3071.2,230756,39.019451,-108.176399 ,197 ,,,,526 
Local,3/26/19,17:08,17:08,12S,744454,4322732,3071.3,230815,39.019474,-108.176399 ,198 ,,,,527 
Local,3/26/19,17:08,17:08,12S,744454,4322735,3071.5,230827,39.019497,-108.176399 ,196 ,,,,528 
Local,3/26/19,17:08,17:08,12S,744454,4322737,3071.8,230845,39.01952,-108.176399 ,196 ,,,,529 
Local,3/26/19,17:08,17:09,12S,744454,4322739,3071.9,230912,39.019539,-108.176399 ,199 ,,,,530 
Local,3/26/19,17:09,17:09,12S,744454,4322743,3072,230927,39.019573,-108.176399 ,201 ,,,,531 
Local,3/26/19,17:09,17:09,12S,744454,4322746,3072.1,230944,39.0196,-108.176399 ,202 ,,,,532 
Local,3/26/19,17:09,17:10,12S,744454,4322749,3072.1,231004,39.01963,-108.176399 ,202 ,,,,533 
Local,3/26/19,17:10,17:10,12S,744454,4322752,3072.3,231018,39.019653,-108.176399 ,203 ,,,,534 
Local,3/26/19,17:10,17:10,12S,744454,4322756,3072.3,231030,39.019688,-108.176399 ,200 ,,,,535 
Local,3/26/19,17:10,17:10,12S,744455,4322757,3072.8,231052,39.019703,-108.176384 ,203 ,,,,536 
Local,3/26/19,17:10,17:11,12S,744456,4322757,3072.9,231109,39.019695,-108.176369 ,213 ,,,,537 
Local,3/26/19,17:11,17:11,12S,744458,4322754,3072.8,231129,39.019672,-108.176353 ,200 ,,,,538 
Local,3/26/19,17:11,17:11,12S,744461,4322752,3072.4,231142,39.019653,-108.176315 ,198 ,,,,539 
Local,3/26/19,17:11,17:12,12S,744464,4322751,3072.3,231159,39.019638,-108.176285 ,198 ,,,,540 
Local,3/26/19,17:12,17:12,12S,744465,4322749,3072.3,231210,39.019627,-108.176270 ,200 ,,,,541 
