UnitID,Date,Created,Last Saved,Zone,Easting,Northing,Altitude,GPStime,Latitude,Longitude,SnowDepth,Notes,TreeCanopyType,Picture,MeasurementID
Local,3/28/19,9:59,10:04,12S,746874,4322405,3115.8,160340,39.015854,-108.148598 ,204 ,"D04 depths, J. Parno ",,,1065 
Local,3/28/19,10:04,10:07,12S,746873,4322403,3116.9,160743,39.015831,-108.148613 ,203 ,,,,1066 
Local,3/28/19,10:07,10:08,12S,746873,4322401,3116.5,160819,39.015812,-108.148613 ,200 ,,,,1067 
Local,3/28/19,10:08,10:08,12S,746871,4322398,3116,160852,39.015785,-108.148636 ,203 ,,,,1068 
Local,3/28/19,10:08,10:09,12S,746870,4322394,3115.7,160929,39.015755,-108.148651 ,200 ,,,,1069 
Local,3/28/19,10:09,10:10,12S,746869,4322391,3115.5,161024,39.015728,-108.148666 ,203 ,,,,1070 
Local,3/28/19,10:10,10:10,12S,746867,4322388,3115.5,161053,39.015701,-108.148682 ,199 ,,,,1071 
Local,3/28/19,10:10,10:11,12S,746866,4322386,3115.5,161124,39.015678,-108.148697 ,194 ,,,,1072 
Local,3/28/19,10:11,10:11,12S,746865,4322383,3115.4,161155,39.015652,-108.148712 ,190 ,,,,1073 
Local,3/28/19,10:11,10:12,12S,746864,4322380,3115,161224,39.015625,-108.148727 ,198 ,,,,1074 
Local,3/28/19,10:12,10:13,12S,746862,4322377,3114.6,161349,39.015602,-108.148750 ,196 ,,,,1075 
Local,3/28/19,10:13,10:14,12S,746861,4322374,3114.7,161421,39.015579,-108.148766 ,202 ,,,,1076 
Local,3/28/19,10:14,10:15,12S,746859,4322372,3113.8,161500,39.015556,-108.148781 ,202 ,Corner of hourglass ,,,1077 
Local,3/28/19,10:15,10:16,12S,746859,4322372,3114.1,161608,39.015556,-108.148781 ,206 ,,,,1078 
Local,3/28/19,10:16,10:16,12S,746862,4322373,3114.4,161637,39.015568,-108.148750 ,205 ,,,,1079 
Local,3/28/19,10:16,10:17,12S,746865,4322374,3114.8,161708,39.015575,-108.148712 ,194 ,,,,1080 
Local,3/28/19,10:17,10:18,12S,746868,4322376,3114.9,161827,39.015591,-108.148682 ,197 ,,,,1081 
Local,3/28/19,10:18,10:18,12S,746870,4322378,3115.2,161852,39.015606,-108.148651 ,197 ,,,,1082 
Local,3/28/19,10:18,10:19,12S,746874,4322379,3115.4,161950,39.015617,-108.148613 ,186 ,In track ,,,1083 
Local,3/28/19,10:19,10:20,12S,746876,4322380,3115.5,162016,39.015629,-108.148582 ,187 ,In track ,,,1084 
Local,3/28/19,10:20,10:21,12S,746879,4322382,3115.6,162109,39.01564,-108.148552 ,193 ,,,,1085 
Local,3/28/19,10:21,10:21,12S,746882,4322383,3115.5,162130,39.015648,-108.148521 ,190 ,,,,1086 
Local,3/28/19,10:21,10:21,12S,746883,4322384,3115.8,162157,39.015663,-108.148506 ,197 ,,,,1087 
Local,3/28/19,10:21,10:22,12S,746887,4322386,3115.9,162220,39.015675,-108.148453 ,192 ,,,,1088 
Local,3/28/19,10:22,10:22,12S,746889,4322387,3116.5,162238,39.015686,-108.148438 ,188 ,,,,1089 
Local,3/28/19,10:22,10:22,12S,746891,4322388,3116.5,162258,39.015697,-108.148407 ,197 ,,,,1090 
Local,3/28/19,10:22,10:23,12S,746895,4322390,3116.6,162317,39.015709,-108.148369 ,204 ,,,,1091 
Local,3/28/19,10:23,10:23,12S,746896,4322391,3117.1,162342,39.01572,-108.148354 ,200 ,,,,1092 
Local,3/28/19,10:23,10:23,12S,746898,4322392,3117.3,162359,39.015728,-108.148323 ,204 ,,,,1093 
Local,3/28/19,10:23,10:24,12S,746900,4322393,3117.4,162425,39.015736,-108.148308 ,210 ,,,,1094 
Local,3/28/19,10:24,10:25,12S,746902,4322394,3117.9,162507,39.015747,-108.148277 ,233 ,,,,1095 
Local,3/28/19,10:25,10:25,12S,746906,4322396,3118.2,162522,39.015759,-108.148239 ,230 ,,,,1096 
Local,3/28/19,10:25,10:25,12S,746907,4322397,3118.5,162540,39.01577,-108.148224 ,240 ,,,,1097 
Local,3/28/19,10:25,10:25,12S,746909,4322399,3118.6,162559,39.015785,-108.148193 ,246 ,,,,1098 
Local,3/28/19,10:26,10:26,12S,746912,4322400,3118.8,162621,39.015797,-108.148163 ,233 ,,,,1099 
Local,3/28/19,10:26,10:26,12S,746913,4322401,3118.7,162645,39.015808,-108.148148 ,243 ,,,,1100 
Local,3/28/19,10:26,10:27,12S,746917,4322402,3119.2,162707,39.015816,-108.148109 ,241 ,,,,1101 
Local,3/28/19,10:27,10:27,12S,746918,4322403,3119.2,162727,39.015823,-108.148094 ,248 ,,,,1102 
Local,3/28/19,10:27,10:28,12S,746921,4322404,3119.4,162749,39.015831,-108.148064 ,250 ,Corner of hourglass  ,,,1103 
Local,3/28/19,10:28,10:28,12S,746919,4322406,3119.1,162830,39.015846,-108.148079 ,235 ,,,,1104 
Local,3/28/19,10:28,10:28,12S,746916,4322407,3118.9,162856,39.015862,-108.148109 ,253 ,,,,1105 
Local,3/28/19,10:28,10:30,12S,746918,4322408,3118.3,162954,39.015869,-108.148094 ,250 ,,,,1106 
Local,3/28/19,10:30,10:30,12S,746916,4322410,3119.1,163057,39.015884,-108.148109 ,250 ,,,,1107 
Local,3/28/19,10:30,10:31,12S,746913,4322412,3118.6,163119,39.015903,-108.148148 ,229 ,,,,1108 
Local,3/28/19,10:31,10:31,12S,746912,4322414,3118.5,163147,39.015919,-108.148163 ,244 ,,,,1109 
Local,3/28/19,10:31,10:32,12S,746910,4322414,3118.6,163205,39.015919,-108.148178 ,239 ,,,,1110 
Local,3/28/19,10:32,10:32,12S,746906,4322416,3117.4,163244,39.015938,-108.148224 ,233 ,,,,1111 
Local,3/28/19,10:32,10:33,12S,746905,4322417,3116.9,163308,39.015953,-108.148239 ,230 ,,,,1112 
Local,3/28/19,10:33,10:34,12S,746903,4322419,3117.3,163407,39.015968,-108.148262 ,223 ,,,,1113 
Local,3/28/19,10:34,10:35,12S,746900,4322420,3117,163514,39.015984,-108.148293 ,217 ,,,,1114 
