UnitID,Date,Created,Last Saved,Zone,Easting,Northing,Altitude,GPStime,Latitude,Longitude,SnowDepth,Notes,TreeCanopyType,Picture,MeasurementID
Local,3/27/19,16:25,16:28,12S,741590,4326327,3052.9,222827,39.052628,-108.208168 ,196 ,E06 Surveyor: N. Parker ,,,986 
Local,3/27/19,16:28,16:29,12S,741590,4326323,3051.7,222900,39.052593,-108.208168 ,196 ,,,,987 
Local,3/27/19,16:29,16:29,12S,741589,4326320,3052.2,222938,39.052563,-108.208183 ,201 ,,,,988 
Local,3/27/19,16:29,16:30,12S,741591,4326318,3054.7,223017,39.052544,-108.208168 ,200 ,,,,989 
Local,3/27/19,16:30,16:30,12S,741589,4326314,3054.3,223044,39.052509,-108.208183 ,200 ,,,,990 
Local,3/27/19,16:30,16:31,12S,741590,4326310,3053.7,223115,39.052475,-108.208183 ,194 ,,,,991 
Local,3/27/19,16:31,16:31,12S,741590,4326307,3054,223148,39.052448,-108.208183 ,206 ,,,,992 
Local,3/27/19,16:31,16:32,12S,741590,4326302,3051.8,223227,39.052402,-108.208183 ,197 ,,,,993 
Local,3/27/19,16:32,16:33,12S,741590,4326301,3055.6,223300,39.052395,-108.208183 ,203 ,,,,994 
Local,3/27/19,16:33,16:33,12S,741591,4326295,3042.5,223336,39.052341,-108.208168 ,201 ,,,,995 
Local,3/27/19,16:33,16:34,12S,741590,4326294,3053.4,223410,39.052334,-108.208183 ,210 ,,,,996 
Local,3/27/19,16:34,16:34,12S,741590,4326292,3057.2,223449,39.052315,-108.208183 ,226 ,,,,997 
Local,3/27/19,16:34,16:35,12S,741590,4326292,3053.9,223521,39.052311,-108.208183 ,226 ,,,,998 
Local,3/27/19,16:35,16:35,12S,741588,4326287,3056.9,223556,39.052269,-108.208206 ,219 ,,,,999 
Local,3/27/19,16:35,16:36,12S,741588,4326284,3056.8,223642,39.052242,-108.208206 ,231 ,,,,1000 
Local,3/27/19,16:36,16:38,12S,741588,4326282,3057.4,223825,39.052219,-108.208206 ,226 ,,,,1001 
Local,3/27/19,16:38,16:39,12S,741589,4326278,3056.3,223908,39.052189,-108.208206 ,232 ,,,,1002 
Local,3/27/19,16:39,16:41,12S,741591,4326279,3057.2,224125,39.052193,-108.208183 ,237 ,,,,1003 
Local,3/27/19,16:41,16:58,12S,741593,4326280,3055.7,225814,39.052204,-108.208153 ,240 ,,,,1004 
Local,3/27/19,16:58,16:58,12S,741596,4326281,3055.5,225835,39.052208,-108.208122 ,246 ,,,,1005 
Local,3/27/19,16:58,16:58,12S,741598,4326282,3053.3,225854,39.052223,-108.208092 ,242 ,,,,1006 
Local,3/27/19,16:58,16:59,12S,741602,4326282,3058.6,225921,39.052219,-108.208054 ,242 ,,,,1007 
Local,3/27/19,16:59,16:59,12S,741604,4326278,3051.2,225942,39.052185,-108.208023 ,245 ,,,,1008 
Local,3/27/19,16:59,17:00,12S,741610,4326283,3043.2,230004,39.052223,-108.207962 ,243 ,,,,1009 
Local,3/27/19,17:00,17:00,12S,741612,4326284,3044.4,230037,39.052235,-108.207939 ,240 ,,,,1010 
Local,3/27/19,17:00,17:01,12S,741603,4326287,3020.9,230112,39.052261,-108.208038 ,236 ,,,,1011 
Local,3/27/19,17:01,17:01,12S,741615,4326287,3046.8,230128,39.052261,-108.207893 ,223 ,,,,1012 
Local,3/27/19,17:01,17:01,12S,741618,4326289,3052.4,230147,39.052273,-108.207863 ,233 ,,,,1013 
Local,3/27/19,17:01,17:02,12S,741621,4326290,3049.7,230205,39.052284,-108.207832 ,231 ,,,,1014 
Local,3/27/19,17:02,17:02,12S,741625,4326290,3050.6,230229,39.052288,-108.207779 ,227 ,,,,1015 
Local,3/27/19,17:02,17:02,12S,741625,4326293,3054.2,230242,39.052311,-108.207779 ,222 ,,,,1016 
Local,3/27/19,17:02,17:03,12S,741619,4326300,3060.5,230307,39.05238,-108.207848 ,220 ,,,,1017 
Local,3/27/19,17:03,17:03,12S,741619,4326300,3063,230320,39.05238,-108.207848 ,216 ,,,,1018 
Local,3/27/19,17:03,17:03,12S,741618,4326300,3056.5,230342,39.052376,-108.207863 ,213 ,,,,1019 
Local,3/27/19,17:03,17:03,12S,741615,4326302,3057.9,230401,39.052395,-108.207893 ,212 ,,,,1020 
Local,3/27/19,17:03,17:04,12S,741612,4326304,3057.5,230419,39.052414,-108.207924 ,205 ,,,,1021 
Local,3/27/19,17:04,17:04,12S,741609,4326306,3056.8,230438,39.052433,-108.207962 ,205 ,,,,1022 
