"TOA5","4540","CR800","4540","CR800.Std.21","CPU:CRREL_GPSProbeC_2014.CR8","51356","OperatorView"
"TIMESTAMP","RECORD","Counter","DepthCm","BattVolts","latitude_a","latitude_b","Longitude_a","Longitude_b","fix_quality","nmbr_satellites","HDOP","altitudeB","DepthVolts","LatitudeDDDDD","LongitudeDDDDD","month","dayofmonth","hourofday","minutes","seconds","microseconds"
"TS","RN","","","","degrees","minutes","degrees","minutes","unitless","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2019-03-28 07:29:44",18681,100001,0.3,13.76,39,1.2328,-108,-9.7965,2,9,0.9,3096.8,0,0.02054667,-0.163275,3,28,7.00000,36,18,820000
"2019-03-28 07:29:44.75",18682,100002,0.3,13.75,39,1.2326,-108,-9.8005,2,9,0.9,3097,0,0.02054333,-0.1633417,3,28,7.00000,37,34,960000
"2019-03-28 07:29:45.5",18683,100003,0.3,13.75,39,1.2349,-108,-9.798,2,8,1,3096.9,0,0.02058167,-0.1633,3,28,7.00000,40,3,450000
"2019-03-28 07:29:46",18684,501,0.3,13.7,39,1.2345,-108,-9.7963,2,9,0.9,3105.4,0,0.020575,-0.1632717,3,28,8,7.00000,44,230000
"2019-03-28 07:29:46.75",18685,502,0.3,13.7,39,1.2355,-108,-9.7964,2,9,0.9,3106.4,0,0.02059167,-0.1632733,3,28,8,8,15,820000
"2019-03-28 07:29:47.5",18686,503,0.3,13.69,39,1.2365,-108,-9.7964,2,9,0.9,3106.3,0,0.02060833,-0.1632733,3,28,8,8,47,370000
"2019-03-28 07:29:48.25",18687,504,0.3,13.69,39,1.2378,-108,-9.7972,2,9,0.9,3106.5,0,0.02063,-0.1632867,3,28,8,9,9,470000
"2019-03-28 07:29:49",18688,505,0.3,13.69,39,1.2394,-108,-9.7972,2,9,0.9,3106.8,0,0.02065667,-0.1632867,3,28,8,9,29,670000
"2019-03-28 07:29:49.5",18689,506,0.3,13.68,39,1.2404,-108,-9.7966,2,9,0.9,3107.3,0,0.02067333,-0.1632767,3,28,8,10,13,40000
"2019-03-28 07:29:50.25",18690,507,0.3,13.68,39,1.2414,-108,-9.7969,2,9,0.9,3108,0,0.02069,-0.1632817,3,28,8,10,29,620000
"2019-03-28 07:29:51",18691,508,0.3,13.68,39,1.2434,-108,-9.796699,2,8,1,3108,0,0.02072333,-0.1632783,3,28,8,11,9,720000
"2019-03-28 07:29:51.75",18692,509,0.3,13.68,39,1.2449,-108,-9.797,2,9,0.9,3108.9,0,0.02074833,-0.1632833,3,28,8,12,32,180000
"2019-03-28 07:29:52.25",18693,510,0.3,13.68,39,1.2451,-108,-9.797,2,7.00000,1.1,3108.9,0,0.02075167,-0.1632833,3,28,8,12,56,10000
"2019-03-28 07:29:52.75",18694,511,0.3,13.68,39,1.2472,-108,-9.797,2,8,1,3109,0,0.02078667,-0.1632833,3,28,8,13,15,840000
"2019-03-28 07:29:53.5",18695,512,0.3,13.68,39,1.2485,-108,-9.7977,2,8,1,3109.5,0,0.02080833,-0.163295,3,28,8,14,2,530000
"2019-03-28 07:29:54.25",18696,513,0.3,13.68,39,1.2496,-108,-9.798101,2,8,1,3109.9,0,0.02082667,-0.1633017,3,28,8,14,30,340000
"2019-03-28 07:29:55",18697,514,0.3,13.68,39,1.2509,-108,-9.7977,2,7.00000,1.1,3110.5,0,0.02084833,-0.163295,3,28,8,15,7.00000,470000
"2019-03-28 07:29:55.5",18698,515,0.3,13.68,39,1.2521,-108,-9.7972,2,7.00000,1.1,3110.1,0,0.02086833,-0.1632867,3,28,8,15,44,790000
"2019-03-28 07:29:56",18699,516,0.3,13.67,39,1.2531,-108,-9.797401,2,7.00000,1.3,3111,0,0.020885,-0.16329,3,28,8,16,8,170000
"2019-03-28 07:29:56.75",18700,517,0.3,13.68,39,1.2552,-108,-9.7963,2,8,1,3111.3,0,0.02092,-0.1632717,3,28,8,16,25,460000
"2019-03-28 07:29:57.25",18701,518,0.3,13.67,39,1.2567,-108,-9.795999,2,7.00000,1.1,3113.8,0,0.020945,-0.1632667,3,28,8,17,7.00000,670000
"2019-03-28 07:29:57.75",18702,519,0.3,13.67,39,1.2577,-108,-9.7963,2,8,1,3115.1,0,0.02096167,-0.1632717,3,28,8,18,11,140000
"2019-03-28 07:29:58.5",18703,520,0.3,13.66,39,1.26,-108,-9.7968,2,9,0.9,3114.7,0,0.021,-0.16328,3,28,8,18,44,990000
"2019-03-28 07:29:59.25",18704,521,0.3,13.67,39,1.2611,-108,-9.797401,2,9,0.9,3116,0,0.02101833,-0.16329,3,28,8,20,10,220000
"2019-03-28 07:30:00",18705,522,0.3,13.67,39,1.262,-108,-9.797,2,9,0.9,3116.2,0,0.02103333,-0.1632833,3,28,8,20,41,30000
"2019-03-28 07:30:00.75",18706,523,0.3,13.67,39,1.2643,-108,-9.7965,2,8,1,3114.6,0,0.02107167,-0.163275,3,28,8,21,0,80000
"2019-03-28 07:30:01.5",18707,524,0.3,13.67,39,1.2656,-108,-9.7954,2,8,1,3113.8,0,0.02109333,-0.1632567,3,28,8,21,57,450000
"2019-03-28 07:30:02.25",18708,525,0.3,13.66,39,1.2667,-108,-9.795299,2,9,0.9,3113.8,0,0.02111167,-0.163255,3,28,8,23,35,840000
"2019-03-28 07:30:02.75",18709,526,0.3,13.66,39,1.2687,-108,-9.795,2,9,0.9,3113.3,0,0.021145,-0.16325,3,28,8,24,33,300000
"2019-03-28 07:30:03.25",18710,527,0.3,13.66,39,1.2702,-108,-9.7952,2,9,0.9,3113.7,0,0.02117,-0.1632533,3,28,8,24,56,20000
"2019-03-28 07:30:04",18711,528,0.3,13.66,39,1.2709,-108,-9.7952,2,8,1.1,3114.3,0,0.02118167,-0.1632533,3,28,8,25,16,850000
"2019-03-28 07:30:04.5",18712,529,0.3,13.66,39,1.2731,-108,-9.7958,2,9,0.9,3115.8,0,0.02121833,-0.1632633,3,28,8,25,41,120000
"2019-03-28 07:30:05.25",18713,530,0.3,13.66,39,1.2742,-108,-9.7963,2,9,0.9,3116.6,0,0.02123667,-0.1632717,3,28,8,26,8,940000
"2019-03-28 07:30:06",18714,531,0.3,13.66,39,1.2768,-108,-9.796699,2,8,1,3117.6,0,0.02128,-0.1632783,3,28,8,26,32,360000
"2019-03-28 07:30:06.75",18715,532,0.3,13.66,39,1.277,-108,-9.7968,2,8,1,3117.6,0,0.02128333,-0.16328,3,28,8,27,10,0
"2019-03-28 07:30:07.5",18716,533,0.242,13.66,39,1.2798,-108,-9.798,2,9,0.9,3116.4,-0.004,0.02133,-0.1633,3,28,8,27,41,230000
"2019-03-28 07:30:08.25",18717,534,0.3,13.66,39,1.2809,-108,-9.797401,2,8,1,3117.2,0,0.02134833,-0.16329,3,28,8,28,14,40000
"2019-03-28 07:30:08.75",18718,535,0.3,13.66,39,1.2824,-108,-9.7954,2,8,1,3117.3,0,0.02137333,-0.1632567,3,28,8,29,23,0
"2019-03-28 07:30:09.25",18719,536,0.3,13.66,39,1.2823,-108,-9.7936,2,8,1,3118.2,0,0.02137167,-0.1632267,3,28,8,30,0,660000
"2019-03-28 07:30:10",18720,537,0.3,13.65,39,1.2824,-108,-9.7929,2,7.00000,1.1,3117.5,0,0.02137333,-0.163215,3,28,8,30,25,370000
"2019-03-28 07:30:10.75",18721,538,0.3,13.65,39,1.2836,-108,-9.7909,2,8,1.1,3117,0,0.02139333,-0.1631817,3,28,8,30,48,520000
"2019-03-28 07:30:11.5",18722,539,0.3,13.65,39,1.283,-108,-9.7894,2,8,1,3116.1,0,0.02138333,-0.1631567,3,28,8,31,11,590000
"2019-03-28 07:30:12.25",18723,540,0.3,13.65,39,1.283,-108,-9.7891,2,8,1,3116.1,0,0.02138333,-0.1631517,3,28,8,31,36,310000
"2019-03-28 07:30:13.25",18724,541,0.3,13.65,39,1.283,-108,-9.7874,2,8,1,3116.3,0,0.02138333,-0.1631233,3,28,8,31,51,240000
"2019-03-28 07:30:13.75",18725,542,0.3,13.65,39,1.2828,-108,-9.7871,2,8,1.1,3116.2,0,0.02138,-0.1631183,3,28,8,32,6,10000
"2019-03-28 07:30:14.5",18726,543,0.3,13.65,39,1.2821,-108,-9.7864,2,8,1,3115.9,0,0.02136833,-0.1631067,3,28,8,32,28,700000
"2019-03-28 07:30:15.25",18727,544,0.3,13.65,39,1.2802,-108,-9.782699,2,8,1,3114.4,0,0.02133667,-0.163045,3,28,8,32,49,660000
"2019-03-28 07:30:16",18728,545,0.3,13.65,39,1.2791,-108,-9.7803,2,8,1,3114.7,0,0.02131833,-0.163005,3,28,8,33,9,0
"2019-03-28 07:30:16.75",18729,546,0.3,13.65,39,1.2778,-108,-9.7783,2,8,1,3114.6,0,0.02129667,-0.1629717,3,28,8,33,29,320000
"2019-03-28 07:30:17.25",18730,547,0.3,13.65,39,1.2774,-108,-9.7775,2,9,1,3114.7,0,0.02129,-0.1629583,3,28,8,33,52,430000
"2019-03-28 07:30:18",18731,548,0.3,13.65,39,1.2768,-108,-9.7744,2,9,1,3115,0,0.02128,-0.1629067,3,28,8,34,32,510000
"2019-03-28 07:30:18.75",18732,549,0.3,13.65,39,1.2757,-108,-9.7711,2,8,1.1,3115.7,0,0.02126167,-0.1628517,3,28,8,34,49,820000
"2019-03-28 07:30:19.25",18733,550,0.3,13.65,39,1.2749,-108,-9.7699,2,7.00000,1.2,3115.3,0,0.02124833,-0.1628317,3,28,8,35,18,860000
"2019-03-28 07:30:19.75",18734,551,0.3,13.65,39,1.2736,-108,-9.767201,2,9,1,3112.5,0,0.02122667,-0.1627867,3,28,8,36,22,150000
"2019-03-28 07:30:20.5",18735,552,0.3,13.65,39,1.2737,-108,-9.7653,2,9,1.1,3113.4,0,0.02122833,-0.162755,3,28,8,36,45,600000
"2019-03-28 07:30:21",18736,553,0.3,13.65,39,1.2728,-108,-9.764,2,9,0.9,3112.1,0,0.02121333,-0.1627333,3,28,8,37,4,460000
"2019-03-28 07:30:21.75",18737,554,0.3,13.65,39,1.2714,-108,-9.7631,2,8,1,3112.4,0,0.02119,-0.1627183,3,28,8,37,25,670000
"2019-03-28 07:30:22.5",18738,555,0.3,13.64,39,1.2711,-108,-9.761,2,9,0.9,3112.1,0,0.021185,-0.1626833,3,28,8,37,46,70000
"2019-03-28 07:30:23",18739,556,0.3,13.65,39,1.2709,-108,-9.759499,2,9,0.9,3112.8,0,0.02118167,-0.1626583,3,28,8,38,2,760000
"2019-03-28 07:30:23.75",18740,557,0.3,13.64,39,1.2689,-108,-9.7573,2,9,0.9,3113.3,0,0.02114833,-0.1626217,3,28,8,39,16,370000
"2019-03-28 07:30:24.5",18741,558,0.3,13.64,39,1.2663,-108,-9.7558,2,9,0.9,3113.8,0,0.021105,-0.1625967,3,28,8,39,56,140000
"2019-03-28 07:30:25.25",18742,559,0.3,13.64,39,1.265,-108,-9.7536,2,8,1.1,3114.4,0,0.02108333,-0.16256,3,28,8,40,15,380000
"2019-03-28 07:30:26",18743,560,0.3,13.64,39,1.2644,-108,-9.752,2,8,1.1,3113.8,0,0.02107333,-0.1625333,3,28,8,41,41,170000
"2019-03-28 07:30:26.75",18744,561,0.3,13.64,39,1.2635,-108,-9.751099,2,9,0.9,3112.6,0,0.02105833,-0.1625183,3,28,8,42,1,960000
"2019-03-28 07:30:27.5",18745,562,0.3,13.64,39,1.2628,-108,-9.7495,2,7.00000,1.3,3113.1,0,0.02104667,-0.1624917,3,28,8,42,22,360000
"2019-03-28 07:30:28",18746,563,0.3,13.64,39,1.2624,-108,-9.7476,2,9,0.9,3112.3,0,0.02104,-0.16246,3,28,8,42,51,680000
"2019-03-28 07:30:28.75",18747,564,0.3,13.64,39,1.2612,-108,-9.7463,2,9,0.9,3112.5,0,0.02102,-0.1624383,3,28,8,43,15,100000
"2019-03-28 07:30:29.25",18748,565,0.3,13.64,39,1.2599,-108,-9.7436,2,9,0.9,3113,0,0.02099833,-0.1623933,3,28,8,43,38,630000
"2019-03-28 07:30:30",18749,566,0.3,13.64,39,1.2596,-108,-9.7425,2,9,0.9,3113.4,0,0.02099333,-0.162375,3,28,8,44,6,740000
"2019-03-28 07:30:31",18750,567,0.3,13.64,39,1.2582,-108,-9.7406,2,9,1.1,3113.4,0,0.02097,-0.1623433,3,28,8,44,27,200000
"2019-03-28 07:30:31.75",18751,568,0.3,13.63,39,1.2562,-108,-9.7365,2,9,0.9,3113.4,0,0.02093667,-0.162275,3,28,8,46,35,740000
"2019-03-28 07:30:32.5",18752,569,0.3,13.64,39,1.2541,-108,-9.7346,2,9,0.9,3113.5,0,0.02090167,-0.1622433,3,28,8,46,51,110000
"2019-03-28 07:30:33.25",18753,570,0.3,13.64,39,1.2525,-108,-9.7333,2,9,0.9,3114.4,0,0.020875,-0.1622217,3,28,8,47,7.00000,550000
"2019-03-28 07:30:34",18754,571,0.3,13.63,39,1.251,-108,-9.7323,2,9,0.9,3113.6,0,0.02085,-0.162205,3,28,8,47,43,120000
"2019-03-28 07:30:34.75",18755,572,0.3,13.63,39,1.2497,-108,-9.7306,2,9,0.9,3114.9,0,0.02082833,-0.1621767,3,28,8,48,13,910000
"2019-03-28 07:30:35.25",18756,573,0.3,13.63,39,1.2467,-108,-9.729299,2,9,1.1,3114.3,0,0.02077833,-0.162155,3,28,8,48,33,50000
"2019-03-28 07:30:36",18757,574,0.3,13.63,39,1.2455,-108,-9.7277,2,9,0.9,3113.9,0,0.02075833,-0.1621283,3,28,8,48,57,280000
"2019-03-28 07:30:36.75",18758,575,0.3,13.63,39,1.2441,-108,-9.7252,2,9,1.1,3113.8,0,0.020735,-0.1620867,3,28,8,49,13,0
"2019-03-28 07:30:37.5",18759,576,0.3,13.63,39,1.243,-108,-9.723699,2,9,0.9,3113.2,0,0.02071667,-0.1620617,3,28,8,49,27,550000
"2019-03-28 07:30:38.25",18760,577,0.3,13.63,39,1.2424,-108,-9.7221,2,9,0.9,3112.2,0,0.02070667,-0.162035,3,28,8,49,54,870000
"2019-03-28 07:30:39",18761,578,0.3,13.63,39,1.2411,-108,-9.7192,2,9,1.1,3112.3,0,0.020685,-0.1619867,3,28,8,50,25,990000
"2019-03-28 07:30:39.75",18762,579,0.3,13.63,39,1.2394,-108,-9.7171,2,9,0.9,3112.7,0,0.02065667,-0.1619517,3,28,8,50,46,780000
