FID	CID	snotreecla	subrando	Latitude	Longitude	Northing	Easting	PitID
16	0	1	77	39.0345993	-108.2214339	4324288.342	740503.4438	A01
12	0	4	970	39.036499	-108.2208794	4324498.118	740545.0816	A02
0	0	1	1715	39.0598984	-108.217994	4327104.265	740715.3123	E01
1	0	3	1235	39.0607986	-108.2176731	4327210.789	740739.8504	E02
2	0	2	1597	39.0579987	-108.21691	4326901.456	740815.4257	E03
3	0	2	2268	39.0563011	-108.214878	4326711.103	740997.2804	E04
30	0	1	191	39.0223007	-108.2131015	4322949.61	741266.5041	B01
4	0	1	229	39.0572014	-108.2090604	4326827.527	741497.6546	E05
29	0	2	1768	39.0214005	-108.2101081	4322855.051	741528.8278	B02
27	0	3	563	39.0247993	-108.2095101	4323239.22	741568.8739	B03
5	0	2	1132	39.0526009	-108.2081706	4326325.341	741590.1683	E06
7	0	2	1155	39.0502014	-108.2081338	4326062.448	741601.4322	E07
8	0	2	2072	39.0498009	-108.2073776	4326015.908	741668.3764	E08
28	0	1	244	39.0247993	-108.2075031	4323241.611	741742.7358	B04
10	0	2	1693	39.047699	-108.2056619	4325783.286	741824.1632	E09
6	0	2	1948	39.0508995	-108.2052628	4326146.282	741847.5838	E10
32	0	1	438	39.0211983	-108.2056106	4322845.037	741918.9367	B05
13	0	2	1895	39.0355988	-108.2034579	4324445.879	742056.2644	A03
9	0	2	788	39.0495987	-108.2009845	4326011.293	742222.3785	E11
17	0	6	207	39.0331001	-108.1998358	4324177.945	742378.3807	A04
11	0	1	1475	39.0472984	-108.1983435	4325765.465	742458.7611	E12
14	0	2	940	39.0348015	-108.1987457	4324374.902	742466.7777	A05
19	0	1	1889	39.0304985	-108.1971435	4323904.821	742620.0993	A06
15	0	2	195	39.0340004	-108.1963133	4324289.612	742680.182	A07
22	0	1	1282	39.0312004	-108.1895204	4323995.107	743277.9214	A08
31	0	1	2065	39.0228004	-108.1896935	4323069.359	743291.5315	B06
21	0	3	703	39.0321999	-108.1867012	4324119.002	743518.3898	A09
20	0	1	1950	39.0317993	-108.1863549	4324075.07	743549.7649	A10
34	0	2	655	39.0191994	-108.1764755	4322704.875	744448.4484	B07
33	0	9	298	39.0209007	-108.1759288	4322889.962	744490.0776	B08
36	0	6	771	39.0192986	-108.1752979	4322718.377	744550.0888	B09
24	0	6	895	39.0304985	-108.171635	4323968.689	744828.6771	D01
37	0	9	436	39.0177994	-108.1713263	4322560.691	744899.2352	B10
42	0	6	768	39.0139999	-108.1668896	4322145.69	745296.7202	C01
45	0	3	1278	39.0150986	-108.1665049	4322275.525	745326.0158	C02
35	0	8	205	39.0205002	-108.163358	4322882.178	745579.8686	C03
41	0	5	11	39.0158005	-108.1626579	4322360.042	745656.8402	C04
46	0	2	1336	39.0130997	-108.1612439	4322064.333	745788.6299	C05
47	0	2	460	39.0093002	-108.1594584	4321650.649	745956.3228	C06
49	0	2	2026	39.0073013	-108.1594748	4321423.756	745961.9925	C07
48	0	2	693	39.0080986	-108.1592884	4321516.487	745975.2487	C08
39	0	3	1368	39.0167999	-108.1568476	4322490.783	746156.3801	C09
23	0	8	193	39.0307999	-108.1516983	4324053.895	746553.7513	D02
18	0	7	129	39.031601	-108.1512155	4324147.084	746592.6657	D03
43	0	6	190	39.0158997	-108.1485385	4322406.106	746879.2623	D04
25	0	8	29	39.0307999	-108.1452141	4324070.876	747115.1502	D05
26	0	3	1732	39.0293007	-108.1431091	4323917.02	747302.4051	D06
38	0	3	914	39.0195999	-108.1383198	4322847.233	747751.1398	D07
40	0	7	484	39.0175018	-108.1319463	4322633.199	748310.3261	D08
44	0	5	208	39.016201	-108.124686	4322510.103	748943.5347	D09
