pitID,Easting,Northing,SnowDepth[cm],MeanDensity[kgpm3],SWE[mm]
E02,740745.0,4327206.0,262,360.0,943.2
A05,742460.0,4324383.0,248,313.4,777.2
E01,740717.0,4327105.0,161,318.7,513.1
A06,742617.0,4323908.0,200,303.1,606.2
B01,NaN,NaN,139,296.1,411.6
D05,747114.0,4324070.0,163,301.5,491.4
B07,744442.0,4322710.0,217,307.3,666.8
C03,745581.0,4322882.0,182,292.2,531.8
E04,740999.0,4326738.0,178,355.4,632.6
D04,746383.0,4322410.0,199,319.7,636.2
D09,749120.0,4322475.0,232,328.6,762.4
B04,NaN,NaN,195,303.2,591.2
E05,741497.0,4326839.0,165,318.0,524.7
D02,746556.0,4324054.0,166,290.5,482.2
B06,743292.0,4323073.0,173,305.7,528.9
E06,741592.0,4326323.0,210,344.0,722.4
A07,742676.0,4324290.0,251,321.7,807.5
A01,740492.0,4324285.0,159,295.0,469.1
B03,741552.0,4323228.0,176,311.7,548.6
A02,740532.0,4324502.0,186,302.4,562.5
D09,748936.0,4322506.0,248,316.7,785.4
E03,740820.0,4326899.0,187,340.3,636.4
A04,742371.0,4324173.0,246,296.1,728.4
